id,name,now_cost,position,team,ict_index_rank_type,creativity_rank,penalties_order,clean_sheets,transfers_out,minutes,value_form,expected_goal_involvements_per_90,corners_and_indirect_freekicks_order,transfers_in_event,assists,expected_assists_per_90,form,selected_by_percent,direct_freekicks_order,goals_scored,starts,event_points,points_per_game_rank,starts_per_90,expected_goals,news_added,ep_this,value_season,points_per_game,red_cards,transfers_in,transfers_out_event,goals_conceded_per_90,clean_sheets_per_90,in_dreamteam,selected_rank_type,chance_of_playing_this_round,news,saves_per_90,expected_goals_per_90,form_rank,form_rank_type,ep_next,now_cost_rank,points_per_game_rank_type,dreamteam_count,expected_goal_involvements,selected_rank,web_name,chance_of_playing_next_round,threat_rank_type,goals_conceded,saves,now_cost_rank_type,threat_rank,influence_rank,bps,status,expected_assists,expected_goals_conceded,total_points,ict_index_rank,influence_rank_type,creativity_rank_type,expected_goals_conceded_per_90
1,Folarin Balogun,45,FWD,Arsenal,7,240,,0,263,0,0.0,0.0,,493,0,0.0,0.0,0.8,,0,0,0,267,0.0,0.00,2023-08-07T15:30:05.135490Z,1.5,0.0,0.0,0,493,263,0.0,0.0,False,37,100.0,,0.0,0.0,267,11,1.5,436,11,0,0.00,195,Balogun,100.0,7,0,0,68,240,240,0,a,0.00,0.00,0,240,7,7,0.0
2,Cédric Alves Soares,40,DEF,Arsenal,3,9,,0,104,0,0.0,0.0,,144,0,0.0,0.0,0.4,,0,0,0,40,0.0,0.00,,1.5,0.0,0.0,0,144,104,0.0,0.0,False,89,,,0.0,0.0,40,14,1.5,545,14,0,0.00,252,Cédric,,3,0,0,154,9,9,0,a,0.00,0.00,0,9,3,3,0.0
3,Mohamed Elneny,45,MID,Arsenal,9,166,,0,357,0,0.0,0.0,,7,0,0.0,0.0,0.1,,0,0,0,195,0.0,0.00,2023-08-11T13:00:06.079379Z,0.0,0.0,0.0,0,7,357,0.0,0.0,False,134,0.0,Knee injury - Unknown return date,0.0,0.0,195,23,0.0,362,23,0,0.00,411,M.Elneny,0.0,9,0,0,206,166,166,0,i,0.00,0.00,0,166,9,9,0.0
4,Fábio Ferreira Vieira,55,MID,Arsenal,221,553,,0,56,0,0.0,0.0,,52,0,0.0,0.0,0.1,,0,0,0,558,0.0,0.00,,2.6,0.0,0.0,0,52,56,0.0,0.0,False,137,,,0.0,0.0,558,223,2.6,137,223,0,0.00,415,Fábio Vieira,,221,0,0,89,553,553,0,a,0.00,0.00,0,553,221,221,0.0
5,Gabriel dos Santos Magalhães,50,DEF,Arsenal,200,447,,0,1303,0,0.0,0.0,,3472,0,0.0,0.0,33.9,,0,0,0,460,0.0,0.00,,2.8,0.0,0.0,0,3472,1303,0.0,0.0,False,2,,,0.0,0.0,460,201,2.8,255,201,0,0.00,6,Gabriel,,200,0,0,31,447,447,0,a,0.00,0.00,0,447,200,200,0.0
6,Kai Havertz,75,MID,Arsenal,264,625,,0,735,0,0.0,0.0,,659,0,0.0,0.0,5.1,,0,0,0,626,0.0,0.00,,3.1,0.0,0.0,0,659,735,0.0,0.0,False,22,,,0.0,0.0,626,264,3.1,24,264,0,0.00,68,Havertz,,264,0,0,14,625,625,0,a,0.00,0.00,0,625,264,264,0.0
7,Rob Holding,45,DEF,Arsenal,103,168,,0,66,0,0.0,0.0,,77,0,0.0,0.0,0.2,,0,0,0,197,0.0,0.00,,2.5,0.0,0.0,0,77,66,0.0,0.0,False,135,,,0.0,0.0,197,112,2.5,364,112,0,0.00,354,Holding,,103,0,0,74,168,168,0,a,0.00,0.00,0,168,103,103,0.0
8,Gabriel Fernando de Jesus,80,FWD,Arsenal,80,634,2.0,0,6994,0,0.0,0.0,,346,0,0.0,0.0,2.5,,0,0,0,635,0.0,0.00,2023-08-02T21:00:03.961365Z,0.0,0.0,0.0,0,346,6994,0.0,0.0,False,21,0.0,Knee injury - Unknown return date,0.0,0.0,635,81,0.0,15,81,0,0.00,113,G.Jesus,0.0,80,0,0,6,634,634,0,i,0.00,0.00,0,634,80,80,0.0
9,Jorge Luiz Frello Filho,55,MID,Arsenal,185,501,,0,91,0,0.0,0.0,,165,0,0.0,0.0,0.2,,0,0,0,509,0.0,0.00,2023-08-07T15:30:05.168632Z,2.6,0.0,0.0,0,165,91,0.0,0.0,False,106,100.0,,0.0,0.0,509,189,2.6,85,189,0,0.00,345,Jorginho,100.0,185,0,0,53,501,501,0,a,0.00,0.00,0,501,185,185,0.0
10,Jakub Kiwior,45,DEF,Arsenal,166,278,,0,42,0,0.0,0.0,,15,0,0.0,0.0,0.1,,0,0,0,303,0.0,0.00,,2.5,0.0,0.0,0,15,42,0.0,0.0,False,162,,,0.0,0.0,303,173,2.5,474,173,0,0.00,426,Kiwior,,166,0,0,137,278,278,0,a,0.00,0.00,0,278,166,166,0.0
